Description,TotalSales,AvgProfitMargin,TargetBrand
Jack Daniels No 7 Black,7964746.76,26.52549117,No
Tito's Handmade Vodka,7399657.58,28.95363447,No
Absolut 80 Proof,6244752.03,27.05197326,No
Capt Morgan Spiced Rum,6356320.62,27.2617636,No
Ketel One Vodka,5070083.56,24.25683733,No
Grey Goose Vodka,7209608.06,25.41381727,No
Jameson Irish Whiskey,5715759.69,25.17898658,No
Smirnoff Traveler,2592041.35,19.43281152,No
Tanqueray,3456697.9,27.17482669,No
Jim Beam,3387951.46,37.30080259,No
Johnnie Walker Red Label,2110136.83,24.77189752,No
Dewars White Label,2715618.43,24.19281561,No
Kendall Jackson Chard Vt RSV,2326007.78,37.2283974,No
Patron Silver Tequila,2841673.06,20.17116332,No
Johnnie Walker Black Label,2409134.67,24.07306915,No
Kahlua,3604858.66,25.17807383,No
Baileys Irish Cream,4150122.07,27.78408033,No
Crown Royal,3050260.56,23.42283929,No
Capt Morgan Original Barrel,1635666.58,19.4554993,No
Bombay Sapphire Gin,2668756.42,26.9603073,No
Stolichnaya,1920270.47,25.5427054,No
Pinnacle Vodka,2010777.5,26.46451428,No
Canadian Club,1819338.25,25.40551208,No
Jose Cuervo Especial,2585342.94,28.22749312,No
Bacardi Superior Rum,3164376.06,36.21580703,No
Veuve Clicquot Brut Yellow,1791728.38,30.12977206,No
Three Olives Vodka,1555364.14,47.26087848,No
Skyy Vodka,1746842.27,23.30409714,No
Moet & Chandon Nectar Imp Rs,1533634.52,33.85097448,No
Beefeater,1369169.38,17.96341565,No
Fireball Cinnamon Whisky,2383974.22,22.47568643,No
Malibu Rum,2035825,25.38578808,No
Bacardi Superior Rum Trav,1623375.63,30.03298577,No
Makers Mark,2097444.4,21.86017851,No
The Glenlivet 12 Yr Single,1721078.03,25.7879389,No
Smirnoff 80 Proof,2408193.74,27.78673946,No
Svedka Vodka,1340318.88,24.8492197,No
Platinum 7X Distilled Vodka,1076868.67,34.50920015,No
Black Velvet Canadian Whisky,948838.57,27.37794481,No
Josh Cellars Cab Svgn Sonoma,1095045.04,38.31731341,No
Zhenka 80 Proof,816412.77,20.8887056,No
Seagrams VO,1001443.01,25.55040724,No
Canadian Ltd,899110.55,30.51827387,No
R M Woodbridge Chard Cal,1214491.83,41.70881497,No
Ciroc Apple Vodka,975620.97,32.65579491,No
Jack Daniels Tennessee Honey,1790915.11,19.16959067,No
Oyster Bay Svgn Bl Marlboro,890334.41,32.54078543,No
Cavit Pinot Grigio,1157821.76,39.10521895,No
Hennessy Privilege VSOP,956519.65,28.58426511,No
Moet & Chandon Imperial,1055234.52,36.6919643,No
Knob Creek Bourbon,1240620.11,25.5563117,No
Cointreau Liqueur,1293142.09,26.25903236,No
Remy Martin VSOP Cognac,815926.8,18.12659582,No
Santa Margherita Pnt Grigio,923055.25,40.41573026,No
Stolichnaya Razberi,1044119.64,25.75148922,No
Bulleit Bourbon,1429562.88,20.06429402,No
Jagermeister Liqueur,2058034.42,22.32870673,No
Apothic Winemakers Red Blend,812899.38,36.57299136,No
Hendrick's Gin,1158482.59,17.95761835,No
Hornitos Reposado Tequila,1157717.98,20.64852762,No
Jose Cuervo Especial Silver,1006921.18,31.05883779,No
Gordons Vodka 80 Proof,724360.55,31.41638097,No
Absolut Citron,1028260.25,26.35369407,No
Burnetts Vodka,731677.26,28.76396397,No
MezzaCorona Pnt Grigio,762835.95,35.43387397,No
Sailor Jerry Spiced Navy Rum,930065.56,19.85967508,No
La Crema Chard Sonoma Cst,658288.13,31.78350033,No
Grand Marnier,1715609.42,34.89139995,No
Amaretto DiSaronno,1546173.66,29.56630701,No
Clos du Bois Chard,1269408.06,36.66382272,No
Belvedere Polish Vodka,536414.82,19.13579867,No
The Macallan 12 Yr Old,725793.21,29.53703006,No
Sambuca Romana,763390.62,27.07747945,No
Gordons London Dry,754974.46,30.19595669,No
Seagrams 7 Crown,801560.19,24.7526486,No
Johnnie Walker Blue Label,855688.75,23.45091883,No
Woodford Reserve Bourbon,939737.99,25.83790375,No
Crown Royal Regal Apple,751229.65,32.68978428,No
R M Woodbridge Cab Svgn Cal,853230.47,39.52288106,No
Fleischmanns Royal Vodka,527560.96,23.78972091,No
La Marca Prosecco,617978.78,32.31995049,No
Bentley's Vodka,520763.55,22.89531209,No
Oban 14-Yr Single Malt,549291.81,27.7133078,No
Dom Perignon,589317.73,32.84828542,No
Lagavulin Single Malt 16-Yr,550740.56,29.53523888,No
Evan Williams Black Label B,663682.67,29.26682723,No
Hennessy VS Cognac,599256.53,25.62674363,No
Canadian Mist,518089.37,26.81461308,No
Caymus Cab Svgn Napa Vly,534970.92,29.39305,No
Chivas Regal,879530.06,21.40518961,No
Capt Morgan Spiced Rum 100,573172.7,42.72328868,No
Goslings Black Seal Bermuda,522535.21,29.37606444,No
