VendorName,AvgStockTurnOver
PERNOD RICARD USA,0.926520655
MOET HENNESSY USA INC,0.914601865
JIM BEAM BRANDS COMPANY,0.94710578
BROWN-FORMAN CORP,0.931032615
REMY COINTREAU USA INC,0.947350159
EDRINGTON AMERICAS,0.884954171
WILLIAM GRANT & SONS INC,0.90823711
CASTLE BRANDS CORP.,0.958151816
SAZERAC CO INC,0.950578162
PROXIMO SPIRITS INC.,0.935775848
CAMPARI AMERICA,0.946391546
STE MICHELLE WINE ESTATES,0.906734489
BACARDI USA INC,0.941635632
CALEDONIA SPIRITS INC,0.863362223
CONSTELLATION BRANDS INC,0.924967249
KOBRAND CORPORATION,0.885483138
SAZERAC NORTH AMERICA INC.,0.963239259
TREASURY WINE ESTATES,0.927792555
DIAGEO CHATEAU ESTATE WINES,0.867992947
STATE WINE & SPIRITS,0.866970059
HEAVEN HILL DISTILLERIES,0.955488269
FREDERICK WILDMAN & SONS,0.860533242
CHARLES JACQUIN ET CIE INC,0.947939037
LUXCO INC,0.96156465
MARSALLE COMPANY,0.948126893
VRANKEN AMERICA,0.908150453
PALM BAY INTERNATIONAL INC,0.92247469
WINE GROUP INC,0.901036353
PINE STATE TRADING CO,0.87931385
DISARONNO INTERNATIONAL LLC,0.975577294
MHW LTD,0.932867598
FLAG HILL WINERY & VINEYARD,0.924893523
MAJESTIC FINE WINES,0.93376575
PHILLIPS PRODUCTS CO.,0.980847894
TRINCHERO FAMILY ESTATES,0.908163147
ATLANTIC IMPORTING COMPANY,0.893078222
"STOLI GROUP,(USA) LLC",0.93399552
VINEYARD BRANDS INC,0.940282215
PREMIER DISTRIBUTORS,0.853384691
PARK STREET IMPORTS LLC,0.751306165
SWEET BABY VINEYARD,0.876637549
DUGGANS DISTILLED PRODUCTS,0.897117019
LAIRD & CO,0.919843547
TAKARA SAKE USA INC,0.984105072
BANFI PRODUCTS CORP,0.920138833
VINILANDIA USA,0.846863738
TAMWORTH DISTILLING,0.797077922
"HOOD RIVER DISTILLERS, Inc.",0.948333333
DELICATO VINEYARDS INC,0.926903024
SEA BREEZE CELLARS LLC,0.895957578
BULLY BOY DISTILLERS,0.946165222
ZORVINO VINEYARDS,0.912737684
SWEETWATER FARM,0.851047417
SMOKY QUARTZ DISTILLERY LLC,0.783834586
ALTAMAR BRANDS LLC,0.959375
VINEXTRA INC,0.920691247
SEA HAGG DISTILLERY LLC,0.940365838
TALL SHIP DISTILLERY LLC,0.926977688
JEWELL TOWNE VINEYARDS,0.872384256
DJINN SPIRITS LLC,0.881116332
STELLAR IMPORTING CO LLC,0.844898817
CRUSH WINES,0.8512176
INCREDIBREW INC,0.930761521
Dunn Wine Brokers,0.766022131
PSP WINES,0.860048982
POVERTY LANE ORCHARDS,0.916666667
WALPOLE MTN VIEW WINERY,0.820547968
FORTUNE WINE BROKERS LLC,0.841545553
Circa Wines,0.755675817
THE IMPORTED GRAPE LLC,0.807569164
R.P.IMPORTS INC,0.914285714
MCCORMICK DISTILLING CO,0.963638738
ALISA CARR BEVERAGES,0.615384615
SHAW ROSS INT L IMP LTD,0.918715732
BRONCO WINE COMPANY,0.822600781
SURVILLE ENTERPRISES CORP,0.877070937
MILTONS DISTRIBUTING CO,0.916666667
DIAGEO NORTH AMERICA INC,0.953169398
OLE SMOKY DISTILLERY LLC,0.943772964
HIGHLAND WINE MERCHANTS LLC,0.708333333
WESTERN SPIRITS BEVERAGE CO,0.896929544
E & J GALLO WINERY,0.916825036
SOUTHERN GLAZERS W&S OF NE,0.825551684
SOUTHERN WINE & SPIRITS NE,0.903225533
SIDNEY FRANK IMPORTING CO,0.962886869
LABELLE VYDS AND WINERY,0.929349099
FABRIZIA SPIRITS LLC,0.899138086
FULCHINO VINEYARD INC,0.87995697
CANDIA VINEYARDS,0.961084862
AMERICAN SPIRITS EXCHANGE,0.875
CENTEUR IMPORTS LLC,0.773952953
KLIN SPIRITS LLC,0.879938514
LATITUDE BEVERAGE COMPANY,0.895661445
WEIN BAUER INC,0.847014925
HAUNTING WHISPER VYDS,0.91341943
"PREMIUM PORT WINES, INC.",0.976076539
THE PIERPONT GROUP LLC,0.946564885
PERFECTA WINES,0.88171366
ULTRA BEVERAGE COMPANY LLP,0.90077535
M S WALKER INC,0.896111469
MARTIGNETTI COMPANIES,0.900364642
AMERICAN VINTAGE BEVERAGE,0.962800956
BLACK PRINCE DISTILLERY INC,0.969135802
MANGO BOTTLING INC,0.9380528
MOONLIGHT MEADERY,0.871566412
NICHE W & S,0.85276649
TY KU LLC,0.976982461
